order_id,order_date,region,category,product,quantity,unit_price,amount
1,2025-10-16,华东,3C数码,平板,2,2048.2,4096.4
2,2026-01-24,华东,美妆个护,洗面奶,5,101.73,508.65
3,2024-01-31,华东,家用电器,洗衣机,5,3408.07,17040.35
4,2025-07-28,华北,美妆个护,洗发水,2,89.41,178.82
5,2024-10-11,华东,家用电器,电饭煲,3,330.62,991.86
6,2024-08-08,华南,3C数码,手机,4,2580.3,10321.2
7,2026-05-17,华南,美妆个护,口红,1,318.92,318.92
8,2025-07-03,华东,食品饮料,牛奶,5,44.66,223.3
9,2025-10-05,西北,服装鞋包,双肩包,2,452.29,904.58
10,2024-02-16,华北,服装鞋包,T恤,2,266.62,533.24
11,2025-01-24,华南,食品饮料,咖啡,2,92.93,185.86
12,2024-08-02,华南,3C数码,智能手表,2,1835.35,3670.7
13,2024-09-07,华北,食品饮料,茶叶,3,297.38,892.14
14,2025-10-17,西北,家用电器,空调,1,2991.05,2991.05
15,2024-02-02,华南,食品饮料,咖啡,1,65.87,65.87
16,2026-08-23,西北,服装鞋包,牛仔裤,4,258.25,1033.0
17,2026-07-25,西南,家用电器,空调,2,3082.46,6164.92
18,2025-07-28,西北,服装鞋包,双肩包,4,548.91,2195.64
19,2025-02-12,华南,家用电器,洗衣机,5,2974.06,14870.3
20,2026-02-12,华东,3C数码,笔记本电脑,2,7856.44,15712.88
21,2025-03-08,西北,3C数码,耳机,4,1252.39,5009.56
22,2025-04-24,西北,服装鞋包,双肩包,1,440.14,440.14
23,2024-04-27,西北,服装鞋包,运动鞋,1,493.5,493.5
24,2024-06-10,西南,3C数码,平板,5,4095.46,20477.3
25,2025-06-03,华东,服装鞋包,双肩包,5,199.46,997.3
26,2025-01-17,华北,美妆个护,香水,1,559.37,559.37
27,2025-05-15,华东,3C数码,平板,3,2109.92,6329.76
28,2024-09-03,西北,3C数码,手机,4,6896.14,27584.56
29,2026-02-17,西北,家用电器,洗衣机,4,4787.39,19149.56
30,2024-06-18,华南,美妆个护,香水,4,778.62,3114.48
31,2026-08-09,西北,家用电器,空调,4,6974.78,27899.12
32,2025-10-27,华南,食品饮料,巧克力,4,29.68,118.72
33,2024-08-18,华东,服装鞋包,T恤,5,188.48,942.4
34,2025-08-25,华北,3C数码,手机,1,3373.65,3373.65
35,2026-07-16,华东,服装鞋包,T恤,5,109.5,547.5
36,2025-11-16,西南,家用电器,吸尘器,2,1168.02,2336.04
37,2026-06-22,西北,美妆个护,洗发水,2,126.31,252.62
38,2026-04-06,西南,家用电器,冰箱,1,4465.42,4465.42
39,2024-12-28,西南,食品饮料,茶叶,1,218.34,218.34
40,2025-10-23,华东,3C数码,耳机,3,1631.1,4893.3
41,2024-04-21,华北,家用电器,洗衣机,5,2794.45,13972.25
42,2025-03-08,华北,服装鞋包,羽绒服,2,1361.93,2723.86
43,2024-03-18,西南,美妆个护,洗面奶,1,140.86,140.86
44,2025-07-07,华东,3C数码,笔记本电脑,2,5735.28,11470.56
45,2025-05-07,华北,食品饮料,牛奶,2,48.95,97.9
46,2025-02-03,华南,食品饮料,咖啡,4,148.42,593.68
47,2026-01-18,西北,食品饮料,坚果,2,63.74,127.48
48,2024-02-29,西北,美妆个护,洗面奶,3,39.72,119.16
49,2025-08-21,西南,美妆个护,香水,2,234.13,468.26
50,2025-06-04,华东,家用电器,冰箱,5,1805.82,9029.1
51,2026-06-01,华北,食品饮料,牛奶,5,42.31,211.55
52,2025-08-31,华东,美妆个护,洗面奶,4,141.75,567.0
53,2025-08-01,西北,服装鞋包,运动鞋,2,869.73,1739.46
54,2024-11-17,华北,服装鞋包,羽绒服,2,1138.86,2277.72
55,2024-11-03,西南,服装鞋包,T恤,1,164.57,164.57
56,2025-07-30,华东,3C数码,智能手表,2,1764.71,3529.42
57,2024-05-15,华南,3C数码,笔记本电脑,3,5067.43,15202.29
58,2025-03-24,西北,服装鞋包,双肩包,5,103.91,519.55
59,2026-04-16,西北,服装鞋包,T恤,2,116.12,232.24
60,2026-06-30,华东,美妆个护,面霜,3,282.86,848.58
61,2024-08-03,华南,家用电器,空调,5,4340.37,21701.85
62,2026-07-16,华东,3C数码,耳机,3,231.56,694.68
63,2024-12-07,华北,服装鞋包,牛仔裤,4,320.67,1282.68
64,2025-03-13,西北,3C数码,手机,1,7670.31,7670.31
65,2025-12-08,华北,美妆个护,洗面奶,3,129.03,387.09
66,2024-05-31,西南,家用电器,冰箱,3,3140.93,9422.79
67,2026-08-13,华东,服装鞋包,牛仔裤,2,366.77,733.54
68,2024-12-28,西北,食品饮料,巧克力,2,94.06,188.12
69,2024-08-30,华北,家用电器,电饭煲,1,266.58,266.58
70,2026-08-04,华南,食品饮料,坚果,3,52.74,158.22
71,2025-12-19,华东,食品饮料,牛奶,4,41.12,164.48
72,2026-04-16,西南,服装鞋包,运动鞋,2,422.92,845.84
73,2025-11-06,华北,食品饮料,咖啡,3,176.94,530.82
74,2026-03-02,华南,服装鞋包,双肩包,4,439.76,1759.04
75,2026-05-13,西北,服装鞋包,T恤,1,269.26,269.26
76,2024-09-24,华北,美妆个护,口红,1,132.52,132.52
77,2025-03-20,华南,服装鞋包,羽绒服,5,1482.66,7413.3
78,2024-04-28,西南,美妆个护,面霜,3,111.96,335.88
79,2025-03-22,华东,美妆个护,香水,2,418.53,837.06
80,2024-03-12,华南,美妆个护,口红,1,315.93,315.93
81,2024-11-03,西北,服装鞋包,羽绒服,3,842.64,2527.92
82,2024-10-29,西北,家用电器,洗衣机,4,3659.72,14638.88
83,2025-01-23,华北,美妆个护,香水,3,443.65,1330.95
84,2026-05-03,华东,服装鞋包,运动鞋,2,629.89,1259.78
85,2025-08-16,西北,服装鞋包,羽绒服,4,886.38,3545.52
86,2024-08-06,西北,食品饮料,坚果,1,62.7,62.7
87,2025-11-10,西北,服装鞋包,T恤,2,218.2,436.4
88,2024-08-18,华北,家用电器,冰箱,1,2601.79,2601.79
89,2025-05-01,西北,3C数码,耳机,4,1789.35,7157.4
90,2025-08-12,华北,食品饮料,茶叶,4,111.0,444.0
91,2025-11-02,华东,3C数码,耳机,2,475.39,950.78
92,2025-12-13,西北,食品饮料,牛奶,5,42.46,212.3
93,2026-05-18,华东,食品饮料,坚果,4,93.41,373.64
94,2025-07-26,西北,服装鞋包,羽绒服,5,1296.51,6482.55
95,2026-07-02,西北,食品饮料,巧克力,4,91.78,367.12
96,2026-01-31,西南,食品饮料,咖啡,2,172.78,345.56
97,2024-10-10,西北,食品饮料,坚果,3,75.19,225.57
98,2025-12-31,华南,家用电器,空调,3,3462.49,10387.47
99,2025-07-07,华东,家用电器,洗衣机,2,2532.14,5064.28
100,2024-06-05,华北,3C数码,耳机,4,762.13,3048.52
101,2025-04-22,西南,3C数码,笔记本电脑,4,5642.12,22568.48
102,2026-02-27,西北,3C数码,智能手表,4,1692.45,6769.8
103,2026-08-23,华南,服装鞋包,羽绒服,4,992.04,3968.16
104,2026-01-22,西北,美妆个护,面霜,4,237.98,951.92
105,2025-03-22,西南,3C数码,耳机,3,1387.42,4162.26
106,2026-03-28,西南,家用电器,电饭煲,2,787.47,1574.94
107,2025-06-30,华东,食品饮料,巧克力,5,73.04,365.2
108,2024-03-26,西南,家用电器,电饭煲,2,182.69,365.38
109,2025-01-23,华南,家用电器,电饭煲,3,369.38,1108.14
110,2026-06-19,西南,服装鞋包,羽绒服,3,1318.4,3955.2
111,2025-04-26,华东,美妆个护,洗面奶,3,68.12,204.36
112,2024-03-11,华东,3C数码,笔记本电脑,2,8115.76,16231.52
113,2025-09-28,华北,家用电器,洗衣机,4,3677.84,14711.36
114,2025-07-31,华北,食品饮料,咖啡,3,58.52,175.56
115,2025-09-13,华东,家用电器,空调,1,4809.16,4809.16
116,2026-08-09,华南,美妆个护,洗发水,4,143.56,574.24
117,2024-07-22,华东,美妆个护,面霜,1,581.98,581.98
118,2024-11-04,西北,3C数码,智能手表,1,1368.01,1368.01
119,2025-03-14,华南,3C数码,智能手表,3,531.63,1594.89
120,2025-03-06,西南,3C数码,耳机,3,1325.83,3977.49
121,2026-04-28,西南,家用电器,电饭煲,2,626.97,1253.94
122,2025-10-28,华南,美妆个护,香水,4,478.92,1915.68
123,2026-04-25,西北,服装鞋包,运动鞋,2,1030.73,2061.46
124,2024-03-29,华南,食品饮料,坚果,4,85.59,342.36
